CodiceComune,Gemeindebezeichnung,DenominazioneComune,PopolazioneTotale,Geburtenbilanz / Saldo naturale,Binnenwanderungsbilanz / Saldo migratorio  interno ,Wanderungsbilanz mit dem Ausland / Saldo migratorio estero ,Statistische Berichtigung* / Aggiustamento statistico*,Saldo insgesamt / Saldo totale,Popolazione censita - Totale
21001,Aldein,Aldino,1627,5,-16,0,4,-7,1620
21002,Andrian,Andriano,1027,5,5,8,8,26,1053
21003,Altrei,Anterivo,393,1,-7,5,-1,-2,391
21004,Eppan an der Weinstraße,Appiano sulla strada del vino,14809,-19,101,85,26,193,15002
21005,Hafling,Avelengo,797,4,-5,2,0,1,798
21006,Abtei,Badia,3525,11,-3,-1,36,43,3568
21007,Barbian,Barbiano,1743,12,-22,7,5,2,1745
21008,Bozen,Bolzano,106410,-233,-202,654,-272,-53,106357
21009,Prags,Braies,683,0,9,5,-1,13,696
21010,Brenner,Brennero,2332,2,29,1,4,36,2368
21011,Brixen,Bressanone,22869,-22,25,111,19,133,23002
21012,Branzoll,Bronzolo,2726,2,5,16,8,31,2757
21013,Bruneck,Brunico,17009,-12,82,58,-13,115,17124
21014,Kuens,Caines,385,1,6,-3,0,4,389
21015,Kaltern an der Weinstraße,Caldaro sulla strada del vino,8147,-10,14,6,24,34,8181
21016,Freienfeld,Campo di Trens,2679,14,17,-3,19,47,2726
21017,Sand in Taufers,Campo Tures,5727,8,-29,28,6,13,5740
21018,Kastelbell-Tschars,Castelbello-Ciardes,2336,-11,35,12,10,46,2382
21019,Kastelruth,Castelrotto,6969,3,15,1,31,50,7019
21020,Tscherms,Cermes,1574,7,-31,-9,6,-27,1547
21021,Kiens,Chienes,3023,5,-4,14,-1,14,3037
21022,Klausen,Chiusa,5201,14,-10,-11,6,-1,5200
21023,Karneid,Cornedo all'Isarco,3471,10,-37,-8,8,-27,3444
21024,Kurtatsch an der Weinstraße,Cortaccia sulla strada del vino,2195,-5,31,2,6,34,2229
21025,Kurtinig an der Weinstraße,Cortina sulla strada del vino,677,0,-1,5,0,4,681
21026,Corvara,Corvara in Badia,1396,-7,4,0,48,45,1441
21027,Graun im Vinschgau,Curon Venosta,2376,5,-5,-6,9,3,2379
21028,Toblach,Dobbiaco,3360,-1,33,21,15,68,3428
21029,Neumarkt,Egna,5481,3,17,15,11,46,5527
21030,Pfalzen,Falzes,3077,26,32,14,-5,67,3144
21031,Völs am Schlern,Fiè allo Sciliar,3636,13,2,16,9,40,3676
21032,Franzensfeste,Fortezza,1085,3,-13,25,1,16,1101
21033,Villnöß,Funes,2559,1,5,-8,-2,-4,2555
21034,Gais,Gais,3211,4,14,-7,3,14,3225
21035,Gargazon,Gargazzone,1767,-3,7,2,5,11,1778
21036,Glurns,Glorenza,936,-6,1,1,0,-4,932
21037,Latsch,Laces,5185,17,26,11,24,78,5263
